column,dtype,non_null,missing,missing_pct,blank_strings,unique_values
house_number,int64,8485,0,0.0,0,187
street,object,8485,0,0.0,0,104
first_name,object,8485,0,0.0,0,366
surname,object,8485,0,0.0,0,641
age,int64,8485,0,0.0,0,106
relationship_to_head,object,8485,0,0.0,0,19
marital_status,object,8485,0,0.0,0,6
gender,object,8485,0,0.0,0,2
occupation,object,8484,1,0.01,0,1075
infirmity,object,8485,0,0.0,0,7
religion,object,8485,0,0.0,0,14
age_raw,object,8484,1,0.01,0,109
age_invalid_flag,bool,8485,0,0.0,0,2
age_imputed_flag,bool,8485,0,0.0,0,2
first_name_missing_flag,bool,8485,0,0.0,0,2
surname_missing_flag,bool,8485,0,0.0,0,1
relationship_missing_flag,bool,8485,0,0.0,0,2
marital_status_missing_flag,bool,8485,0,0.0,0,2
religion_missing_flag,bool,8485,0,0.0,0,2
infirmity_missing_flag,bool,8485,0,0.0,0,2
household_id,object,8485,0,0.0,0,2820
age_group,category,8485,0,0.0,0,12
is_child,bool,8485,0,0.0,0,2
is_school_age,bool,8485,0,0.0,0,2
is_working_age,bool,8485,0,0.0,0,2
is_retirement_age,bool,8485,0,0.0,0,2
is_older_elderly,bool,8485,0,0.0,0,2
is_under_5,bool,8485,0,0.0,0,2
is_age_0_to_1,bool,8485,0,0.0,0,2
is_unemployed,bool,8485,0,0.0,0,2
is_student,bool,8485,0,0.0,0,2
is_university_student,bool,8485,0,0.0,0,2
is_commuter_proxy,bool,8485,0,0.0,0,2
is_professional_proxy,bool,8485,0,0.0,0,2
household_size,int64,8485,0,0.0,0,17
occupancy_band,category,8485,0,0.0,0,4
